entity_id,entity_type,raw_location,platform,cleaned_location,matched_city,country,lat,lon,confidence
RManLuo,github_user,Melbourne,GitHub,Melbourne,Melbourne,Australia,-37.8136,144.9631,high
X-PLUG,github_organization,,GitHub,,,,,,none
ax-llm,github_organization,,GitHub,,,,,,none
griptape-ai,github_organization,United States of America,GitHub,United States of America,,,,,low
howl-anderson,github_user,United States,GitHub,United States,,,,,low
xusenlinzy,github_user,wuhan,GitHub,wuhan,Wuhan,China,30.5928,114.3055,high
paulpierre,github_user,,GitHub,,,,,,none
darrenburns,github_user,"Edinburgh, Scotland",GitHub,"Edinburgh, Scotland",Edinburgh,United Kingdom,55.9533,-3.1883,high
Jittor,github_user,,GitHub,,,,,,none
zurawiki,github_user,"New York City, NY, USA",GitHub,"New York City, NY, USA",New York,United States,40.7128,-74.006,high
jackmpcollins,github_user,California,GitHub,California,California,United States,36.7014631,-118.755997,medium
cogentapps,github_user,,GitHub,,,,,,none
maitrix-org,github_organization,,GitHub,,,,,,none
context-labs,github_organization,,GitHub,,,,,,none
refuel-ai,github_organization,,GitHub,,,,,,none
AGI-Edgerunners,github_organization,,GitHub,,,,,,none
TigerResearch,github_organization,,GitHub,,,,,,none
WLiK,github_user,,GitHub,,,,,,none
agiresearch,github_organization,,GitHub,,,,,,none
AI-Hypercomputer,github_organization,,GitHub,,,,,,none
EgoAlpha,github_user,Cambridge,GitHub,Cambridge,Cambridge,United Kingdom,52.2053,0.1218,high
floneum,github_organization,,GitHub,,,,,,none
zjukg,github_organization,,GitHub,,,,,,none
imaurer,github_user,"Cleveland, OH",GitHub,"Cleveland, OH",Cleveland,United States,41.4996574,-81.6936772,medium
km1994,github_user,,GitHub,,,,,,none
emcf,github_user,Toronto,GitHub,Toronto,Toronto,Canada,43.6532,-79.3832,high
camenduru,github_user,,GitHub,,,,,,none
greshake,github_user,,GitHub,,,,,,none
lxe,github_user,"San Francisco, CA",GitHub,"San Francisco, CA",San Francisco,United States,37.7749,-122.4194,high
fiatrete,github_user,,GitHub,,,,,,none
guinmoon,github_user,,GitHub,,,,,,none
horseee,github_user,Singapore,GitHub,Singapore,Singapore,Singapore,1.3521,103.8198,high
patterns-ai-core,github_organization,United States of America,GitHub,United States of America,,,,,low
jimmc414,github_user,"Birmingham, AL",GitHub,"Birmingham, AL",Birmingham,United States,33.5206824,-86.8024326,medium
AmberLJC,github_user,Palo Alto,GitHub,Palo Alto,Palo Alto,United States,37.4419,-122.143,high
OpenMotionLab,github_organization,,GitHub,,,,,,none
melih-unsal,github_user,,GitHub,,,,,,none
marella,github_user,,GitHub,,,,,,none
Forethought-Technologies,github_organization,"San Francisco, CA",GitHub,"San Francisco, CA",San Francisco,United States,37.7749,-122.4194,high
Pythagora-io,github_organization,,GitHub,,,,,,none
HuangOwen,github_user,"Pittsburgh, PA",GitHub,"Pittsburgh, PA",Pittsburgh,United States,40.4406,-79.9959,high
NotJoeMartinez,github_user,"San Antonio, Texas",GitHub,"San Antonio, Texas",San Antonio,United States,29.4246002,-98.4951405,medium
peremartra,github_user,Barcelona,GitHub,Barcelona,Barcelona,Spain,41.3874,2.1686,high
IntelLabs,github_organization,Around the globe,GitHub,Around the globe,Los Angeles,United States,34.0508168,-118.25315,medium
cfortuner,github_user,,GitHub,,,,,,none
Cormanz,github_user,,GitHub,,,,,,none
szczyglis-dev,github_user,Poland,GitHub,Poland,,,,,low
evalplus,github_organization,,GitHub,,,,,,none
aphrodite-engine,github_organization,,GitHub,,,,,,none
eyurtsev,github_user,Boston,GitHub,Boston,Boston,United States,42.3601,-71.0589,high
lifan0127,github_user,"Wilmington, DE, United States",GitHub,"Wilmington, DE, United States",Wilmington,United States,39.7459468,-75.546589,medium
gnehs,github_user,Taiwan,GitHub,Taiwan,,,,,low
eylonmiz,github_user,San Francisco,GitHub,San Francisco,San Francisco,United States,37.7749,-122.4194,high
SamurAIGPT,github_organization,,GitHub,,,,,,none
phodal,github_user,Hangzhou,GitHub,Hangzhou,Hangzhou,China,30.2741,120.1551,high
jina-ai,github_organization,United States of America,GitHub,United States of America,,,,,low
pixeltable,github_organization,United States of America,GitHub,United States of America,,,,,low
wangzhaode,github_user,Beijing,GitHub,Beijing,Beijing,China,39.9042,116.4074,high
AetherCortex,github_user,,GitHub,,,,,,none
THUDM,github_organization,"FIT Building, Tsinghua University",GitHub,"FIT Building, Tsinghua University",,,,,low
sobelio,github_organization,Europe,GitHub,Europe,,,,,low
PKU-Alignment,github_organization,China,GitHub,China,,,,,low
lyuchenyang,github_user,"Dublin, Ireland",GitHub,"Dublin, Ireland",Dublin,Ireland,53.3498,-6.2603,high
Beomi,github_user,"Seoul, South Korea",GitHub,"Seoul, South Korea",Seoul,South Korea,37.5665,126.978,high
